Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teams Payments and Refunds,Chrome 134.0.6998.178,,,10-04-2025 01:18:28,10-04-2025 01:19:56,"1m - 27,851s",PASSED
,,,,,,,
"Test Cases/Payments for teams (CARD, ACH, CHECK)",Chrome 134.0.6998.178,,"refund, teams",10-04-2025 01:18:29,10-04-2025 01:19:22,"52,974s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 134.0.6998.178,,,10-04-2025 01:18:29,10-04-2025 01:18:33,"4,591s",PASSED
"navigateToUrl(""http://USAV:demo@my.dev.swstage.com/#/"")",Chrome 134.0.6998.178,,,10-04-2025 01:18:33,10-04-2025 01:18:36,"2,610s",PASSED
"setText(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_Log In_email""), ""coachjon@trinityvolleyball.com"")",Chrome 134.0.6998.178,,,10-04-2025 01:18:36,10-04-2025 01:18:37,"0,752s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_false_password""), ""ugkk24xDMrWrlVpEbACuNZEQlZ6qfcdw"")",Chrome 134.0.6998.178,,,10-04-2025 01:18:37,10-04-2025 01:18:37,"0,315s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/button_Log In""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:37,10-04-2025 01:18:37,"0,294s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/a_Enter Events""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:37,10-04-2025 01:18:39,"1,353s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/button_Manage Teams""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:39,10-04-2025 01:18:39,"0,697s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/button_Pay""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:39,10-04-2025 01:18:41,"1,829s",PASSED
delay(2),Chrome 134.0.6998.178,,,10-04-2025 01:18:41,10-04-2025 01:18:43,"2,044s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_Payment history_ng-pristine ng-untouc_97ddf2""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:43,10-04-2025 01:18:44,"0,360s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_To Pay_ng-pristine ng-untouched ng-va_e7e142""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:44,10-04-2025 01:18:44,"0,500s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_1,000.00_ng-pristine ng-untouched ng-_714ebc""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:44,10-04-2025 01:18:45,"0,512s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_1,000.00_ng-pristine ng-untouched ng-_714ebc_1""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:45,10-04-2025 01:18:45,"0,299s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_1,000.00_ng-pristine ng-untouched ng-_714ebc_1_2""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:45,10-04-2025 01:18:45,"0,299s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_1,000.00_ng-pristine ng-untouched ng-_714ebc_1_2_3""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:45,10-04-2025 01:18:46,"0,297s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/div_Proceed to payment""))",Chrome 134.0.6998.178,,,10-04-2025 01:18:46,10-04-2025 01:18:46,"0,342s",PASSED
delay(2),Chrome 134.0.6998.178,,,10-04-2025 01:18:46,10-04-2025 01:18:48,"2,017s",PASSED
"setText(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_Card number_number""), ""4242 4242 4242 4242"")",Chrome 134.0.6998.178,,,10-04-2025 01:18:48,10-04-2025 01:18:49,"0,699s",PASSED
