Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ticket Refunds,Chrome 136.0.7103.114,,,26-05-2025 22:51:55,26-05-2025 22:55:15,"3m - 20,037s",PASSED
,,,,,,,
Test Cases/111Ticket refund/Ticket Payment for refund,Chrome 136.0.7103.114,,,26-05-2025 22:51:55,26-05-2025 22:53:18,"1m - 23,167s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 136.0.7103.114,,,26-05-2025 22:51:55,26-05-2025 22:52:00,"4,834s",PASSED
"navigateToUrl(""http://USAV:demo@tickets-dev.swstage.com/"")",Chrome 136.0.7103.114,,,26-05-2025 22:52:00,26-05-2025 22:52:02,"1,805s",PASSED
maximizeWindow(),Chrome 136.0.7103.114,,,26-05-2025 22:52:02,26-05-2025 22:52:02,"0,125s",PASSED
"setText(findTestObject(""Object Repository/Ticket purchase/Page_SW  Tickets/input_Available Events_form-control ng-pris_aaf354""), ""[AUTOTESTS] Tickets refunds (do not touch!)"")",Chrome 136.0.7103.114,,,26-05-2025 22:52:02,26-05-2025 22:52:03,"1,028s",PASSED
"click(findTestObject(""Spy Web/Page_SportWrench - The Home of Sporting Events/Page_SW  Tickets/b_AUTOTESTS Tickets refunds (do not touch)""))",Chrome 136.0.7103.114,,,26-05-2025 22:52:03,26-05-2025 22:52:06,"2,740s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_None""))",Chrome 136.0.7103.114,,,26-05-2025 22:52:06,26-05-2025 22:52:06,"0,311s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_1""))",Chrome 136.0.7103.114,,,26-05-2025 22:52:06,26-05-2025 22:52:07,"0,287s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_Purchaser Info_1""))",Chrome 136.0.7103.114,,,26-05-2025 22:52:07,26-05-2025 22:52:07,"0,503s",PASSED
"click(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/div_I Agree""))",Chrome 136.0.7103.114,,,26-05-2025 22:52:07,26-05-2025 22:52:08,"0,506s",PASSED
"setText(findTestObject(""Object Repository/Ticket payment 1111111111111/Page_Tickets/input__purchaserFirst""), ""Tara"")",Chrome 136.0.7103.114,,,26-05-2025 22:52:08,26-05-2025 22:52:08,"0,762s",PASSED
