Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Full and partial REFUNDS for teams (CARD, ACH, CHECK)",Chrome 136.0.7103.114,,,29-05-2025 00:50:37,29-05-2025 00:55:50,"5m - 13,031s",PASSED
,,,,,,,
"Test Cases/111Team payments/Payments for teams (CARD, ACH, CHECK)",Chrome 136.0.7103.114,,"refund, teams",29-05-2025 00:50:37,29-05-2025 00:51:39,"1m - 2,124s",PASSED
"openBrowser(""http://USAV:demo@dev.swstage.com/"")",Chrome 136.0.7103.114,,,29-05-2025 00:50:38,29-05-2025 00:50:45,"7,903s",PASSED
"navigateToUrl(""http://USAV:demo@my.dev.swstage.com/#/"")",Chrome 136.0.7103.114,,,29-05-2025 00:50:45,29-05-2025 00:50:48,"2,183s",PASSED
"setText(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_Log In_email""), ""coachjon@trinityvolleyball.com"")",Chrome 136.0.7103.114,,,29-05-2025 00:50:48,29-05-2025 00:50:48,"0,750s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/input_false_password""), ""ugkk24xDMrWrlVpEbACuNZEQlZ6qfcdw"")",Chrome 136.0.7103.114,,,29-05-2025 00:50:48,29-05-2025 00:50:49,"0,305s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/button_Log In""))",Chrome 136.0.7103.114,,,29-05-2025 00:50:49,29-05-2025 00:50:49,"0,309s",PASSED
"click(findTestObject(""Object Repository/Payment for teams (CARD, ACH, CHECK)/Page_SportWrench - The Home of Sporting Events/a_Enter Events""))",Chrome 136.0.7103.114,,,29-05-2025 00:50:49,29-05-2025 00:50:54,"4,678s",PASSED
"setText(findTestObject(""Spy Web/Page_SportWrench - The Home of Sporting Events/input_Invoices_searchbox""), ""ULTIMATE TEAMS REFUND"")",Chrome 136.0.7103.114,,,29-05-2025 00:50:54,29-05-2025 00:50:55,"0,967s",PASSED
delay(2),Chrome 136.0.7103.114,,,29-05-2025 00:50:55,29-05-2025 00:50:57,"2,025s",PASSED
